business_name,website,category,city,state,source,contact_name,email,contact_form,instagram,top_issue,secondary_issue,booking_path,credibility_notes,website_notes,notes
MediFresh Med Spa,https://medifreshmedspa.com/,Med Spa,Harrisburg,PA,Web search,,,,,homepage message repeats and could be tightened for faster clarity,consult and service paths could be more direct,phone and service/appointment flow visible,injectables skin rejuvenation and wellness services with founder/provider story,mission copy is strong but long for first-screen conversion,First-pass lead from search snippet
VeVe Medspa,https://www.vevemedspa.com/,Med Spa,Hershey,PA,Web search,,,,,many service options may create decision fatigue,booking CTAs appear in several places and could be streamlined,Book Now and Book Online visible,luxury facials injectables peels microneedling bridal skincare,site has strong services but could benefit from clearer treatment funnel,First-pass lead from search snippet
Alpine Glow MedSpa,https://www.alpineglowmedspa.com/,Med Spa,Lemoyne,PA,Web search,,,,,homepage could sharpen the specific consult path,service positioning may be broad across wellness and beauty,Schedule Now visible,provider credentials and testimonials/service proof visible,high-ticket services with strong credibility but broad messaging,First-pass lead from search snippet
Setzer Aesthetics,https://setzeraesthetics.com/,Med Spa,Harrisburg,PA,Web search,,,,,headline appears repeated and generic,service categories could be organized into clearer booking paths,personalized treatment plan CTA visible,10+ years in aesthetics and major treatment categories,search snippet suggests template repetition and room for polish,First-pass lead from search snippet
G Nail Bar,https://gnailbar.com/,Nail Salon,Camp Hill,PA,Web search,,,,,site appears menu-heavy and could lead with stronger value/booking flow,gallery and service menu could be packaged more premium,Book now visible,active service menu pricing and local contact details,clear booking path but likely simple templated layout,First-pass lead from search snippet
Bellissima Haircuts,https://bellissimahaircuts.com/,Salon,Camp Hill,PA,Web search,,,,,homepage is mostly announcement pricing and contact info,brand story and booking value could be stronger,Book a time visible,clear hours pricing and local contact info,basic site that may benefit from credibility and mobile polish,First-pass lead from search snippet
Phoenix Salon,https://www.phoenixsalonllc.com/,Salon,Camp Hill,PA,Web search,,,,,homepage message appears broad and could be more specific,service/booking flow could be made more conversion-focused,Book Now visible,full service salon with online booking,first-pass candidate with likely simple service site,First-pass lead from search snippet
Artistry Salon & Day Spa,https://www.artistry-salon.com/,Salon and Day Spa,Mechanicsburg,PA,Web search,,,,,site likely needs service hierarchy for salon versus special event services,booking CTA could be made more prominent by service,book online visible,professional services and day spa/special occasion positioning,clear booking path and service breadth,First-pass lead from search snippet
Gordner Prosthodontics,https://www.gordnerprosthodontics.com/,Cosmetic Dentist,Camp Hill,PA,Web search,,,,,homepage copy is long and traditional,consult request path could feel more modern and trust-building,phone and appointment request form visible,advanced cosmetic dentistry implants veneers crowns bridges,strong high-ticket service fit with older-feeling copy,First-pass lead from search snippet
Sarah M Lynch DMD,https://www.dentistcamphill.com/,Cosmetic Dentist,Camp Hill,PA,Web search,,,,,homepage appears sparse and service list driven,consult CTA could be more trust-focused,Schedule A Consultation visible,cosmetic and family dentistry with contact and hours,high-value services with simple website structure,First-pass lead from search snippet
MIKA Interior Design,https://www.mikainteriordesign.com/,Interior Designer,Harrisburg,PA,Web search,,,,,copy has typos and could feel more premium,consultation CTA could be stronger above the fold,Get In Touch and consultation messaging visible,design remodeling refresh and staging services with local contact,good visual niche but homepage copy needs polish,First-pass lead from search snippet
Vara Inc,https://varainc.com/,Interior Designer,Mechanicsburg,PA,Web search,,,,,site appears older with many image labels and dense copy,consultation path could be clearer and more modern,phone/email visible,35+ years experience credentials and design-build services,strong credibility but likely dated presentation,First-pass lead from search snippet
7 Layers Health Center,https://7layershc.com/,Esthetician,Lancaster,PA,Web search,,,,,service list is broad and could be simplified into clearer treatment paths,booking language could be more direct,book a session mentioned,laser treatments microneedling tattoo removal peels facial services,high-value skincare services with opportunity to clarify,First-pass lead from search snippet
Alesca Aesthetics,https://alescaaesthetics.com/,Med Spa,Lancaster,PA,Web search,,,,,copy is descriptive but could be tightened for faster action,mobile/off-site booking instructions may create friction,call or book online visible,personalized med spa with botox facials peels skincare,high-value consult business with multiple booking contexts,First-pass lead from search snippet
Eve's Photography,https://www.evesphotography48.com/,Wedding Photographer,Lancaster,PA,Web search,,,,,wedding and portrait offers may need clearer inquiry separation,homepage could make ideal client and package path clearer,inquiry/social links visible,wedding portfolio and social links visible,visual service business with inquiry conversion opportunity,First-pass lead from search snippet
MikCollective Photography,https://www.mikcollectivephotography.com/,Wedding Photographer,Lancaster,PA,Web search,,,,,homepage could strengthen wedding inquiry path,portfolio and lifestyle services may need clearer segmentation,inquiry path likely present,Instagram and wedding/lifestyle positioning visible,visual service business with premium inquiry opportunity,First-pass lead from search snippet
